relative_time,AccX,AccY,AccZ,BarometerSensor,CompassSensor,,,,
0,3.536246338,-3.912563782,8.04906189,985.0796509,50.39161301,,0,12,106
63,3.476221161,-4.046684875,8.14965271,985.0796509,50.39161301,,0,,
129,3.713627472,-3.986210632,8.158035278,985.0796509,50.39161301,,0,,
196,3.422632599,-4.091292114,8.08648407,985.0796509,50.39161301,,0,,
263,3.496728516,-4.026626587,8.09351944,985.0796509,50.39161301,,0,,
328,3.666924591,-4.108356628,8.23392746,985.0796509,50.39161301,,0,,
395,3.509152679,-4.019890594,8.148604889,985.0796509,50.39161301,,0,,
464,3.337010651,-3.843257904,8.150251465,985.0796509,50.39161301,,0,,
529,3.42248291,-3.234324188,8.010142822,985.0796509,52.13518143,,0.00038147,,
595,3.934118958,-3.728446655,8.021070099,985.0800323,53.65230942,,0,,
662,4.930896149,-2.392025757,8.792266388,985.0800323,55.18060684,,0,,
729,4.0941362,-3.037333832,8.373587036,985.0800323,54.14102936,,0,,
796,5.025050354,-1.850302277,7.73890686,985.0800323,50.10006714,,0,,
863,2.822829895,-1.964963837,7.699688416,985.0800323,46.96806335,,0,,
929,2.906954956,-7.560926971,7.964038696,985.0800323,44.24088287,,0,,
996,0.264799347,-5.828130341,7.773634644,985.0800323,40.33237839,,0,,
1063,1.213526459,-7.17023941,7.301516418,985.0800323,39.20648956,,0,,
1129,2.35535202,-7.296876068,5.590424652,985.0800323,39.20648956,,0,,
1195,0.978664856,-9.309440918,4.829407196,985.0800323,205.2280884,,0,,
1263,-1.830243988,-8.674461365,5.450166321,985.0800323,208.3946686,,0,,
1329,4.789589996,-7.909252625,3.988156586,985.0800323,208.3946686,,0,,
1396,4.693938904,-8.483458557,4.846172333,985.0800323,203.638504,,0,,
1464,-1.001417542,-4.878654785,2.401156769,985.0800323,197.8352356,,0,,
1529,0.711320801,-5.553002472,-7.150330811,985.0800323,185.4217529,,0,,
1595,2.452799377,-9.699529724,-2.772384796,985.0800323,178.69664,,0,,
1663,2.343376923,-9.1570578,-2.630479889,985.0800323,172.6106262,,0,,
1729,2.918780365,-11.6135994,1.012793884,985.0800323,176.4023132,,0,,
1796,6.615942078,-7.296876068,0.544268188,985.0800323,161.8003693,,0,,
1863,7.732470245,-6.460714874,2.169887695,985.0800323,158.2760162,,0,,
1929,5.313799896,-8.490344238,0.536634064,985.0800323,163.9301147,,0,,
1996,6.638844452,-7.292385406,0.161663818,985.0800323,162.7648163,,0,,
2063,6.179300079,-7.645201721,1.041683807,985.0800323,162.7648163,,0,,
2129,5.833070068,-7.252119141,0.806073761,985.0800323,161.5738373,,0,,
2196,5.726641388,-7.727380829,1.395248566,985.0800323,160.3858948,,0,,
2263,6.174360352,-7.938292236,1.811981964,985.0800323,158.4985962,,0,,
2329,5.70299057,-7.039112091,1.215921478,985.0800323,156.3667755,,0,,
2396,5.989794159,-7.332801361,1.353934479,985.0800323,152.7247467,,0.000762939,,
2463,6.046675873,-8.010591888,1.122515717,985.0807953,150.2306976,,0,,
2529,5.401218109,-7.328011322,1.150657196,985.0807953,147.6634827,,0,,
2595,5.479954376,-6.923552399,1.248553619,985.0807953,147.6634827,,0,,
2663,6.398743744,-8.097261658,1.799258423,985.0807953,149.388092,,0,,
2729,6.919660492,-8.509803772,2.3237677,985.0807953,152.5296936,,0,,
2796,5.826034698,-7.30256424,2.008373566,985.0807953,156.7186584,,0,,
2863,5.754633179,-7.18431015,1.772015076,985.0807953,159.3260651,,0,,
2929,6.150410156,-7.652237091,2.456691284,985.0807953,161.8706207,,0,,
2996,6.024222565,-7.362439728,2.240091705,985.0807953,159.3276978,,0,,
3063,5.981112213,-7.678432617,1.635349274,985.0807953,156.7296906,,0,,
3129,6.012846222,-7.541766815,1.81826889,985.0807953,154.467041,,0,,
3196,6.059399414,-7.395520935,1.601669312,985.0807953,152.8900146,,0,,
3263,6.080056458,-7.394173737,1.644480286,985.0807953,151.8646545,,0,,
3329,6.073470154,-7.54356308,1.660646667,985.0807953,150.8154755,,0.00213623,,
3395,5.936355286,-7.626191254,1.741328888,985.0829315,150.8154755,,0,,
3463,5.836961975,-7.67933075,1.797761536,985.0829315,151.8833771,,0,,
3529,5.889951782,-7.795938263,1.902992706,985.0829315,153.1748505,,0,,
3596,5.745651855,-7.741601257,2.017953644,985.0829315,156.5784149,,0,,
3663,5.547314301,-7.560477905,1.938169556,985.0829315,157.8650665,,0,,
3729,5.553900604,-7.483687592,1.706900482,985.0829315,157.8650665,,0,,
3796,5.673052826,-7.782765656,1.704355774,985.0829315,154.7245331,,0,,
3863,5.620063019,-7.966134338,1.720522156,985.0829315,153.0827484,,0,,
3929,5.564079437,-7.732021179,1.925745392,985.0829315,151.8365784,,0,,
3996,5.612728271,-7.582482147,2.799777832,985.0829315,151.8365784,,0,,
4063,5.282514954,-8.066126404,1.675765228,985.0829315,151.8365784,,0,,
4129,5.600304108,-7.712561646,1.553469543,985.0829315,148.816864,,0,,
4196,5.717809753,-7.183561707,1.558109894,985.0829315,147.0942078,,0,,
4263,6.404431915,-7.45105545,1.906884613,985.0829315,147.0942078,,0.00328064,,
4329,7.390730896,-7.062313843,2.602039032,985.0862122,147.0942078,,0,,
4396,5.845045166,-6.701264648,2.387984161,985.0862122,147.0942078,,0,,
4463,6.083499298,-8.010741577,2.159559174,985.0862122,147.0942078,,0,,
4528,5.967041473,-7.69564682,1.897005157,985.0862122,147.0942078,,0,,
4595,5.67963913,-8.073311462,2.067650299,985.0862122,147.0942078,,0,,
4663,5.817502441,-8.365503845,2.946173401,985.0862122,143.8061523,,0,,
4729,7.781867523,-9.226064301,2.395618286,985.0862122,142.657608,,0,,
4796,6.047424316,-8.058941345,1.458417206,985.0862122,141.2140045,,0,,
4862,3.435954895,-5.028792572,0.563428345,985.0862122,138.2441254,,0,,
4929,5.521118774,-8.85633316,0.379460907,985.0862122,133.1627045,,0,,
4995,5.389243011,-10.24948608,-0.07259903,985.0862122,120.7972794,,0,,
5063,2.514321442,-6.709796906,0.594713287,985.0862122,119.8772278,,0,,
5129,5.026996307,-8.394992523,1.96107193,985.0862122,123.5448532,,0,,
5195,4.321962433,-5.492977295,4.797822876,985.0862122,131.0857239,,0.003890991,,
5263,5.962251434,-8.98626297,4.837640076,985.0901031,132.2020264,,0,,
5329,6.042035522,-7.550448761,4.880750427,985.0901031,132.2020264,,0,,
5396,5.353317719,-10.60020676,1.14901062,985.0901031,129.8047638,,0,,
